title: test  nSrf: 21795  downL: 300.000                    
571 295.006 0.60 0.10 1.50 298.150
572 293.138 0.97 0.10 1.50 298.150
573 292.868 0.97 0.10 1.50 298.150
574 294.845 0.60 0.10 1.50 298.150
575 292.774 0.97 0.10 1.50 298.150
576 294.734 0.60 0.10 1.50 298.150
577 294.238 0.60 0.10 1.50 298.150
578 294.307 0.60 0.10 1.50 298.150
579 293.412 0.60 0.10 1.50 298.150
580 292.706 0.97 0.10 1.50 298.150
581 292.963 0.95 0.10 1.50 298.150
582 293.391 0.60 0.10 1.50 298.150
583 292.555 0.96 0.10 1.50 298.150
584 292.634 0.96 0.10 1.50 298.150
585 293.412 0.60 0.10 1.50 298.150
586 294.558 0.60 0.10 1.50 298.150
587 292.879 0.97 0.10 1.50 298.150
588 293.520 0.74 0.10 1.50 298.150
589 292.720 0.97 0.10 1.50 298.150
590 293.729 0.60 0.10 1.50 298.150
591 293.665 0.60 0.10 1.50 298.150
592 293.711 0.74 0.10 1.50 298.150
593 295.107 0.60 0.10 1.50 298.150
594 295.942 0.60 0.10 1.50 298.150
595 295.744 0.60 0.10 1.50 298.150
596 294.895 0.60 0.10 1.50 298.150
597 293.514 0.89 0.10 1.50 298.150
598 295.529 0.60 0.10 1.50 298.150
599 295.056 0.60 0.10 1.50 298.150
600 297.061 0.60 0.10 1.50 298.150
601 294.812 0.60 0.10 1.50 298.150
602 295.163 0.60 0.10 1.50 298.150
603 294.976 0.60 0.10 1.50 298.150
604 291.921 0.84 0.10 1.50 298.150
605 293.649 0.87 0.10 1.50 298.150
606 295.795 0.60 0.10 1.50 298.150
607 295.088 0.60 0.10 1.50 298.150
608 295.101 0.60 0.10 1.50 298.150
609 295.292 0.60 0.10 1.50 298.150
610 294.252 0.84 0.10 1.50 298.150
611 296.144 0.60 0.10 1.50 298.150
612 296.836 0.60 0.10 1.50 298.150
613 293.755 0.97 0.10 1.50 298.150
614 296.541 0.60 0.10 1.50 298.150
615 296.685 0.60 0.10 1.50 298.150
616 296.707 0.60 0.10 1.50 298.150
617 292.350 0.88 0.10 1.50 298.150
618 293.601 0.60 0.10 1.50 298.150
619 295.177 0.97 0.10 1.50 298.150
620 295.455 0.60 0.10 1.50 298.150
621 293.962 0.60 0.10 1.50 298.150
622 295.490 0.60 0.10 1.50 298.150
623 295.790 0.60 0.10 1.50 298.150
624 293.698 0.86 0.10 1.50 298.150
625 296.930 0.60 0.10 1.50 298.150
626 295.661 0.60 0.10 1.50 298.150
627 296.141 0.60 0.10 1.50 298.150
628 295.000 0.97 0.10 1.50 298.150
629 296.495 0.60 0.10 1.50 298.150
630 293.609 0.60 0.10 1.50 298.150
631 294.882 0.60 0.10 1.50 298.150
